temperature,humidity,pressure,wind_speed,rainfall,weather
31.2,69.1,1014.6,10.7,0.0,Sunny
36.2,40.7,1019.4,10.1,0.0,Sunny
31.4,77.8,1001.0,26.5,9.7,Rainy
29.2,80.7,1016.6,20.9,0.0,Cloudy
17.3,95.8,1010.5,27.2,10.4,Rainy
24.2,51.4,1015.4,4.3,0.0,Sunny
21.6,36.2,1011.3,18.0,0.0,Sunny
21.1,69.4,1005.6,12.7,4.0,Cloudy
39.3,79.5,1000.7,30.0,12.4,Rainy
24.8,84.8,996.8,25.4,20.5,Rainy
37.3,47.2,1008.4,30.7,0.0,Sunny
30.8,51.5,1019.8,3.5,0.0,Sunny
34.9,67.3,1013.5,25.8,0.0,Sunny
27.6,55.8,1003.2,19.8,4.2,Cloudy
29.4,89.2,1015.7,29.2,14.5,Rainy
27.3,64.8,1014.2,18.7,0.0,Sunny
19.9,85.4,1002.0,19.8,16.5,Rainy
33.1,71.6,995.4,3.7,5.5,Cloudy
22.0,83.7,998.0,24.1,12.6,Rainy
15.6,56.0,1016.9,11.0,0.0,Sunny
31.1,87.4,1015.9,2.6,3.6,Cloudy
19.4,52.3,1002.4,4.2,0.0,Sunny
38.5,69.4,1002.1,33.6,13.3,Rainy
38.8,48.5,1014.8,13.4,0.0,Sunny
37.9,65.0,1018.4,30.6,0.0,Sunny
24.3,55.0,1014.5,33.7,0.0,Sunny
15.4,51.8,1010.1,33.1,0.0,Sunny
38.2,95.9,1001.1,31.1,7.7,Cloudy
25.7,45.1,1008.1,31.5,0.0,Sunny
39.2,84.6,1000.8,11.5,12.2,Rainy
39.1,97.0,1015.2,7.0,0.0,Cloudy
36.3,36.3,1004.7,23.1,0.0,Sunny
22.4,79.0,1015.8,18.1,1.9,Cloudy
24.6,50.9,1004.5,5.3,0.0,Sunny
36.3,37.6,1015.6,24.4,0.0,Sunny
22.9,60.4,1003.3,20.6,8.5,Rainy
19.2,93.9,1006.0,30.5,14.2,Rainy
28.9,35.7,1010.4,22.1,0.0,Sunny
38.4,72.0,996.8,20.9,14.6,Rainy
32.4,66.6,1018.7,16.5,0.0,Sunny
29.3,90.0,1009.3,17.3,13.0,Rainy
17.4,40.3,1007.7,33.5,0.0,Sunny
30.4,77.9,1016.0,6.6,0.0,Cloudy
39.8,77.8,1016.6,16.7,0.0,Cloudy
18.5,77.2,1008.1,23.6,0.0,Cloudy
28.0,94.4,1018.2,16.3,2.3,Cloudy
36.9,86.9,996.6,11.3,12.8,Rainy
33.5,37.6,997.8,11.5,0.0,Sunny
32.4,64.7,1009.9,9.7,0.0,Sunny
32.6,60.1,1003.9,13.3,0.0,Sunny
24.0,54.5,1006.6,30.8,0.0,Sunny
22.3,63.4,1003.2,18.7,2.7,Cloudy
35.2,59.2,1005.1,9.9,0.0,Sunny
35.3,62.2,1015.6,14.7,0.0,Sunny
36.7,96.7,1009.8,5.5,9.6,Rainy
37.8,40.6,1019.9,31.8,0.0,Sunny
27.8,93.1,1014.7,15.5,1.9,Cloudy
27.5,65.3,1001.8,34.4,9.9,Rainy
35.0,74.3,1001.6,13.5,9.5,Rainy
31.2,87.3,1003.4,29.6,10.2,Rainy
32.5,57.7,1016.1,10.5,0.0,Sunny
34.9,62.1,995.7,4.5,12.0,Rainy
37.3,60.8,1000.8,3.0,0.2,Sunny
23.4,58.6,1017.6,22.0,0.0,Sunny
24.4,93.3,1011.0,12.3,6.0,Cloudy
17.3,87.2,1000.7,16.6,12.3,Rainy
29.5,41.9,1000.5,29.0,1.2,Sunny
15.9,41.8,1016.6,10.2,0.0,Sunny
26.6,62.0,1017.3,12.2,0.0,Sunny
28.6,41.2,1001.4,29.9,0.0,Sunny
22.2,74.0,1005.5,18.3,14.7,Rainy
29.8,44.1,1015.9,29.3,0.0,Sunny
15.8,67.9,1014.3,14.4,0.0,Sunny
15.9,35.5,1015.3,15.1,0.0,Sunny
35.6,54.9,1008.0,7.5,0.0,Sunny
24.0,77.7,1017.8,32.2,0.0,Cloudy
18.2,65.5,1003.1,31.6,6.1,Cloudy
28.1,96.6,998.9,34.5,18.8,Rainy
34.2,90.1,1012.7,15.3,0.0,Cloudy
20.4,57.6,1008.5,29.0,0.0,Sunny
30.6,37.9,1016.4,15.7,0.0,Sunny
17.1,88.3,997.0,17.0,22.3,Rainy
16.3,92.4,1016.1,29.4,10.7,Rainy
28.3,86.7,1002.3,7.9,9.7,Rainy
28.5,43.1,1011.4,9.3,0.0,Sunny
30.9,97.9,996.0,12.4,19.6,Rainy
33.2,51.3,1010.2,28.0,0.0,Sunny
39.4,80.6,1012.9,14.3,1.8,Cloudy
27.9,92.2,1004.2,13.8,6.9,Cloudy
23.1,49.8,1000.4,35.0,2.8,Cloudy
34.9,92.2,1008.4,14.7,13.3,Rainy
21.8,54.5,1015.8,10.2,0.0,Sunny
26.0,96.5,1003.1,22.6,17.5,Rainy
17.0,52.7,1001.3,28.5,0.0,Sunny
15.6,95.1,1002.0,4.3,17.8,Rainy
39.1,38.4,1018.7,22.4,0.0,Sunny
35.9,79.7,1004.0,3.2,8.2,Rainy
32.4,68.5,995.1,19.4,4.2,Cloudy
25.2,65.1,1014.5,10.5,0.0,Sunny
19.3,49.1,1012.5,12.1,0.0,Sunny
18.9,79.5,998.2,17.4,9.3,Rainy
21.3,47.0,1019.6,32.6,0.0,Sunny
28.7,69.8,1010.2,25.5,0.0,Sunny
32.9,51.0,1007.5,32.9,0.0,Sunny
31.5,95.2,1004.6,23.8,21.2,Rainy
22.0,36.8,1017.5,2.2,0.0,Sunny
38.9,47.6,1001.1,10.8,0.0,Sunny
33.4,50.3,1002.1,31.9,0.0,Sunny
28.9,61.1,998.1,23.2,2.2,Cloudy
30.3,49.7,1014.0,34.4,0.5,Sunny
25.5,66.0,1009.9,7.1,0.0,Sunny
21.2,90.0,1010.2,11.8,12.7,Rainy
23.9,79.9,1000.5,14.0,7.0,Cloudy
33.9,71.5,1011.3,12.8,4.9,Cloudy
15.4,40.6,1014.1,10.3,0.0,Sunny
17.9,78.7,1003.9,16.6,9.0,Rainy
16.2,45.5,1015.0,23.2,0.0,Sunny
16.0,84.5,1003.7,12.3,5.8,Cloudy
36.4,50.8,1014.0,4.6,0.0,Sunny
32.6,61.3,995.8,25.4,7.8,Cloudy
26.9,57.1,1008.8,17.1,0.2,Sunny
17.4,89.1,1019.2,20.4,0.0,Cloudy
27.3,43.0,1019.5,17.0,0.0,Sunny
26.8,70.6,1002.0,31.4,4.9,Cloudy
19.3,43.9,1006.0,20.4,0.0,Sunny
25.8,79.4,996.6,32.5,16.2,Rainy
25.0,92.0,1016.8,18.8,4.4,Cloudy
30.4,62.4,1009.2,11.7,0.0,Sunny
30.9,65.7,1004.6,13.7,0.0,Sunny
16.1,93.4,997.8,19.2,19.5,Rainy
24.4,67.8,1018.7,19.5,0.0,Sunny
30.6,65.7,1008.3,24.7,2.3,Cloudy
27.6,71.4,1002.1,9.4,7.4,Cloudy
36.4,78.4,1003.8,23.7,7.5,Cloudy
31.5,41.7,1001.8,27.7,0.0,Sunny
19.1,86.7,1010.0,24.3,14.2,Rainy
16.8,62.4,1018.2,17.9,0.0,Sunny
31.1,39.6,1016.4,34.7,0.0,Sunny
15.7,84.5,1006.5,15.4,4.7,Cloudy
29.6,58.7,1015.7,5.5,0.0,Sunny
38.5,41.3,1005.6,29.1,0.0,Sunny
29.4,74.9,1001.3,9.0,5.8,Cloudy
24.7,90.4,1019.6,25.5,4.0,Cloudy
31.1,90.9,1002.6,7.9,14.3,Rainy
26.5,95.3,1003.1,2.6,20.6,Rainy
28.6,89.7,1019.7,7.3,0.0,Cloudy
38.5,35.1,998.3,14.4,0.0,Sunny
24.7,59.0,1014.0,5.5,0.0,Sunny
39.0,86.6,1018.4,8.5,0.0,Cloudy
37.6,58.1,1007.8,27.2,0.0,Sunny
19.9,72.9,995.1,27.4,15.6,Rainy
16.7,73.2,1004.4,29.0,8.8,Rainy
17.5,58.0,997.8,29.8,13.0,Rainy
15.5,92.0,1005.4,15.9,12.8,Rainy
17.4,66.7,1014.8,30.6,0.0,Sunny
32.1,64.3,1006.0,19.4,0.0,Sunny
16.8,97.8,1005.8,17.5,17.1,Rainy
23.0,66.1,1008.9,25.7,0.0,Sunny
36.1,46.2,1009.5,9.1,0.0,Sunny
15.6,67.3,1016.4,28.1,0.0,Sunny
35.4,86.3,1002.7,16.2,11.1,Rainy
22.0,83.9,1015.5,6.2,0.0,Cloudy
18.0,84.7,1009.1,5.9,6.6,Cloudy
32.4,79.6,1002.5,7.4,6.3,Cloudy
30.7,51.0,1002.4,31.4,0.7,Sunny
36.9,89.3,1004.0,34.7,15.3,Rainy
33.4,91.3,1010.6,13.8,6.5,Cloudy
35.1,47.2,1000.8,11.6,1.0,Sunny
22.1,43.2,1018.0,9.2,0.0,Sunny
19.4,96.5,1009.4,29.2,16.0,Rainy
33.8,89.7,1018.0,8.9,0.0,Cloudy
35.2,91.3,996.2,32.5,12.8,Rainy
39.8,90.8,1003.6,24.0,12.0,Rainy
25.3,69.1,995.6,31.6,2.7,Cloudy
24.3,75.7,1001.8,20.3,7.2,Cloudy
34.4,69.4,1016.6,24.8,1.5,Sunny
23.5,38.2,995.9,22.4,0.0,Sunny
38.3,82.0,1005.9,29.4,1.1,Cloudy
36.5,66.8,997.9,29.6,14.3,Rainy
25.7,75.8,1005.4,21.5,4.0,Cloudy
33.8,66.7,1016.0,22.9,0.0,Sunny
33.9,66.0,1010.6,32.4,2.6,Cloudy
17.6,45.8,1013.4,32.7,0.0,Sunny
37.6,52.6,1003.7,23.9,0.0,Sunny
27.6,45.0,1018.6,2.3,0.0,Sunny
35.7,47.3,1012.7,5.4,0.0,Sunny
23.0,96.3,1005.5,30.3,10.7,Rainy
37.4,44.6,1005.7,4.8,0.0,Sunny
24.7,52.0,1018.0,9.0,0.0,Sunny
15.3,72.2,1009.4,9.6,0.0,Cloudy
37.6,73.4,1012.7,21.8,0.0,Cloudy
17.3,44.7,1005.4,21.0,0.0,Sunny
23.0,85.0,1000.6,11.6,10.5,Rainy
38.8,84.5,1013.1,8.9,0.0,Cloudy
38.8,50.0,1010.2,27.2,0.0,Sunny
29.3,53.2,1007.5,32.9,0.0,Sunny
30.8,94.1,1010.6,3.7,4.5,Cloudy
26.2,87.0,1000.2,6.4,9.8,Rainy
22.3,79.0,1014.8,23.2,0.0,Cloudy
23.2,40.2,1018.7,28.5,0.0,Sunny
31.8,61.4,1017.3,28.1,0.0,Sunny
33.8,70.2,1003.0,25.7,3.7,Cloudy
34.8,46.8,1005.2,31.3,0.0,Sunny
34.7,63.2,1015.2,9.2,0.0,Sunny
17.3,72.9,1009.9,5.5,0.0,Cloudy
27.4,55.6,1008.7,22.3,0.0,Sunny
16.4,84.2,1018.2,29.1,0.0,Cloudy
28.7,87.9,1008.4,21.2,7.1,Cloudy
26.0,55.4,1007.9,33.8,0.0,Sunny
37.2,87.8,996.1,28.3,19.5,Rainy
23.8,41.5,996.7,25.1,0.0,Sunny
17.9,87.8,995.2,4.0,11.9,Rainy
18.6,44.6,1017.8,5.6,0.0,Sunny
34.0,40.2,1005.2,27.9,0.0,Sunny
30.5,75.4,1006.7,8.5,5.9,Cloudy
17.5,64.7,1016.1,3.0,0.0,Sunny
17.1,92.2,1010.2,32.1,20.6,Rainy
32.5,57.9,1010.2,31.4,0.0,Sunny
16.8,53.1,1002.4,9.2,0.0,Sunny
35.5,66.5,1015.8,27.7,0.0,Sunny
32.7,63.7,999.1,3.6,0.0,Sunny
17.0,56.7,996.3,11.4,9.3,Rainy
17.1,78.7,999.8,22.6,12.0,Rainy
39.7,82.9,1001.7,27.2,9.3,Rainy
24.4,88.7,1002.1,2.3,12.9,Rainy
24.3,96.3,1011.8,12.8,9.9,Rainy
35.3,51.8,1000.4,9.1,0.0,Sunny
38.7,80.1,1011.9,35.0,0.4,Cloudy
39.7,59.8,997.3,24.1,0.0,Sunny
33.8,77.7,998.7,15.4,19.2,Rainy
24.4,65.0,1007.7,4.5,0.0,Sunny
17.1,97.6,1018.0,21.8,13.7,Rainy
34.4,80.9,1016.5,23.2,0.0,Cloudy
29.0,95.0,1019.2,28.9,9.1,Rainy
25.6,87.6,1011.3,11.5,7.4,Cloudy
37.7,91.9,1011.9,34.4,13.1,Rainy
17.8,86.3,1010.6,16.5,9.1,Rainy
27.3,63.9,1010.6,11.8,0.0,Sunny
15.3,50.9,998.7,13.5,0.0,Sunny
26.7,58.3,1008.6,19.1,0.0,Sunny
16.4,36.3,1004.7,32.9,0.0,Sunny
18.0,68.0,1006.1,26.3,0.0,Sunny
17.9,66.8,1008.1,21.0,0.0,Sunny
31.2,68.1,998.2,7.4,4.4,Cloudy
33.7,96.4,1004.0,6.9,5.1,Cloudy
29.6,92.4,996.6,18.6,20.1,Rainy
39.1,45.2,1019.5,26.0,0.0,Sunny
24.4,58.2,998.0,26.8,0.5,Sunny
22.1,61.7,1001.5,9.5,0.0,Sunny
36.7,57.7,1017.3,5.3,0.0,Sunny
20.6,85.3,1007.1,14.7,2.1,Cloudy
39.1,68.0,998.4,32.3,7.4,Cloudy
15.3,71.0,1004.6,20.0,0.0,Cloudy
39.2,88.7,997.9,12.6,12.2,Rainy
16.1,85.8,1000.0,12.7,19.8,Rainy
37.3,43.3,996.3,6.4,0.0,Sunny
28.2,80.0,1006.0,17.6,3.8,Cloudy
39.8,62.4,1015.2,28.1,0.0,Sunny
16.8,53.6,1009.6,34.0,0.0,Sunny
28.8,38.2,1010.2,18.6,0.0,Sunny
39.2,65.7,1000.0,7.5,6.0,Cloudy
28.1,57.4,1003.6,24.5,0.0,Sunny
30.7,50.8,1016.1,27.0,0.0,Sunny
32.4,78.8,997.2,4.4,11.3,Rainy
26.4,83.5,1016.4,30.1,1.6,Cloudy
30.7,50.4,1007.1,29.4,0.0,Sunny
29.6,38.1,1015.9,17.6,0.0,Sunny
37.5,88.5,1003.0,20.5,15.9,Rainy
16.1,35.6,1003.5,25.5,0.0,Sunny
22.0,94.0,1013.8,24.3,4.0,Cloudy
38.8,74.5,1014.6,2.5,0.0,Cloudy
37.3,55.3,1000.7,6.0,0.0,Sunny
26.4,50.5,1019.3,7.4,0.0,Sunny
30.5,35.6,997.1,26.9,0.0,Sunny
21.9,49.8,996.7,16.5,8.3,Rainy
19.7,43.7,1009.9,20.0,0.0,Sunny
26.6,73.6,1013.1,27.5,5.1,Cloudy
23.8,45.5,1019.0,13.3,0.0,Sunny
29.6,68.3,1005.1,26.7,3.5,Cloudy
16.9,72.2,995.6,16.6,12.8,Rainy
39.4,53.8,1010.1,14.4,0.0,Sunny
39.7,37.2,1002.2,13.0,0.0,Sunny
32.5,37.3,1005.8,33.8,0.0,Sunny
28.4,36.7,1007.2,27.5,0.0,Sunny
22.7,81.6,996.6,2.7,8.4,Rainy
35.3,55.0,1007.1,33.6,4.3,Cloudy
32.1,85.2,1005.7,27.6,6.1,Cloudy
19.1,62.2,1012.8,6.9,0.0,Sunny
37.8,63.5,1011.1,4.5,0.0,Sunny
35.6,67.3,999.6,12.2,0.9,Sunny
38.7,79.9,1000.2,22.6,14.5,Rainy
33.1,52.2,1001.3,22.3,0.0,Sunny
30.3,42.7,999.5,11.1,0.0,Sunny
25.5,70.0,1011.4,16.7,0.0,Cloudy
38.3,55.6,1019.9,9.0,0.0,Sunny
36.7,62.9,1011.3,3.7,0.0,Sunny
16.1,75.8,1010.2,19.1,0.0,Cloudy
15.7,66.1,1005.2,13.5,8.0,Rainy
24.4,74.1,1002.8,19.9,9.1,Rainy
35.3,69.3,1017.8,33.2,0.0,Sunny
39.7,81.6,1019.2,6.7,1.6,Cloudy
18.8,79.5,1007.4,2.1,4.2,Cloudy
29.9,68.7,1002.3,4.5,0.0,Sunny
24.5,77.8,1014.3,17.3,0.0,Cloudy
39.2,90.0,998.3,25.3,15.1,Rainy
36.1,62.2,1014.1,21.2,0.0,Sunny
36.0,61.0,1015.5,18.3,0.0,Sunny
26.7,83.1,998.1,13.7,9.2,Rainy
25.4,71.7,1019.4,12.2,0.0,Cloudy
21.8,39.5,1019.6,14.4,0.0,Sunny
16.4,91.2,1018.4,22.2,1.8,Cloudy
36.6,36.9,1007.4,7.5,0.0,Sunny
35.3,82.1,1001.2,27.5,10.9,Rainy
40.0,82.8,1009.6,21.0,0.0,Cloudy
39.9,95.0,1005.5,10.9,13.3,Rainy
28.9,38.4,1000.1,18.5,0.0,Sunny
